loss,mae,val_loss,val_mae,learning_rate
0.4107529819011688,0.03758450597524643,0.4579930305480957,0.030925584957003593,0.0003000000142492354
0.39207497239112854,0.03753024339675903,0.4585300385951996,0.030644575133919716,0.0003000000142492354
0.3874962329864502,0.037120554596185684,0.46592584252357483,0.029235664755105972,0.0003000000142492354
0.38230422139167786,0.03666132315993309,0.4460785984992981,0.029443414881825447,0.0003000000142492354
0.3775734007358551,0.03600350394845009,0.42734935879707336,0.03006098046898842,0.0003000000142492354
0.3725702166557312,0.03525175526738167,0.4136071801185608,0.030748384073376656,0.0003000000142492354
0.36688894033432007,0.034702740609645844,0.42592519521713257,0.029347892850637436,0.0003000000142492354
0.3620631992816925,0.034050412476062775,0.42548251152038574,0.028843017295002937,0.0003000000142492354
0.3573010265827179,0.03341556340456009,0.42543455958366394,0.028128961101174355,0.0003000000142492354
0.3518134355545044,0.03288251906633377,0.4102661609649658,0.028930552303791046,0.0001500000071246177
0.34910881519317627,0.03259040042757988,0.4095837473869324,0.028863420709967613,0.0001500000071246177
0.34597843885421753,0.03226519376039505,0.40471455454826355,0.028972534462809563,0.0001500000071246177
0.34313610196113586,0.03191312029957771,0.4001968502998352,0.02919050119817257,0.0001500000071246177
0.3407743573188782,0.0316147580742836,0.40121591091156006,0.02886386029422283,0.0001500000071246177
0.3383188247680664,0.031314458698034286,0.40084660053253174,0.029056895524263382,0.0001500000071246177
0.33573901653289795,0.03118165209889412,0.4003860652446747,0.028837747871875763,0.0001500000071246177
0.3338705897331238,0.03085685707628727,0.3957146406173706,0.029310716316103935,7.500000356230885e-05
0.33294132351875305,0.03075670450925827,0.3966307044029236,0.02894430048763752,7.500000356230885e-05
0.3311963975429535,0.030661897733807564,0.3972398042678833,0.028873180970549583,7.500000356230885e-05
0.33006006479263306,0.030553393065929413,0.3937026262283325,0.02944321371614933,7.500000356230885e-05
0.3300935924053192,0.030462196096777916,0.39320436120033264,0.029314914718270302,7.500000356230885e-05
0.32813605666160583,0.030320681631565094,0.3921785056591034,0.029332857578992844,7.500000356230885e-05
0.32820528745651245,0.030268186703324318,0.39140835404396057,0.029568133875727654,7.500000356230885e-05
0.32789841294288635,0.030217420309782028,0.39398935437202454,0.02918143942952156,7.500000356230885e-05
0.32572367787361145,0.03014860302209854,0.39390888810157776,0.029227709397673607,7.500000356230885e-05
0.3247014880180359,0.029954953119158745,0.3948059678077698,0.029161635786294937,7.500000356230885e-05
0.3242250382900238,0.02995878830552101,0.39510995149612427,0.02899433672428131,3.7500001781154424e-05
0.3234035074710846,0.02983437106013298,0.3928145170211792,0.029183804988861084,3.7500001781154424e-05
0.32314157485961914,0.029824398458003998,0.39301443099975586,0.029324786737561226,3.7500001781154424e-05
0.3222569227218628,0.029798928648233414,0.3929758667945862,0.02915024943649769,1.8750000890577212e-05
0.3225698471069336,0.029811399057507515,0.3939090371131897,0.029109053313732147,1.8750000890577212e-05
